Título,Autores
UM ALGORITMO PARA O PROBLEMA DE FLUXO MÁXIMO EM REDES COM INCERTEZAS,"Fábio Hernandes, Akebo Yamakami, Márcia Tomie Takahashi, José Luis Verdegay"
"ALGUNS GRAFOS BEM-COBERTOS LIVRES DE K_{1,3}","Márcia R. Cappelle Santana, Rommel Melgaço Barbosa"
ALGUNS PROBLEMAS SOBRE CONJUNTOS INDEPENDENTES EM GRAFOS,"Karla Roberta P. do Nascimento, Rommel M. Barbosa"
CONJECTURAS GERADAS AUTOMATICAMENTE PELO SISTEMA AUTOGRAPHIX: PROVAS DE ALGUMAS DESIGUALDADES PARA O ÍNDICE DA MATRIZ LAPLACIANA SEM SINAL,"Nair Maria Maia de Abreu, Carla Silva Oliveira, Leonardo Silva de Lima"
UMA NOVA FORMULAÇÃO PARA O PROBLEMA DE CORRESPONDÊNCIA DE GRAFOS,"Renato Gonçalves de Lanes, Maria Claudia Silva Boeres"
Análise do comportamento da resolução do PQA através de instâncias isomorfas,"Ricardo de Magalhães Simões, Maria Cristina Rangel"
UMA HEURÍSTICA PARA O RECONHECIMENTO DE GRAFOS ISOMORFOS VIA O PROBLEMA QUADRÁTICO DE ALOCAÇÃO,"Valdir Agustinho de Melo, Denis Silva da Silveira, Laura Silvia Bahiense da Silva Leite, Nair Maria Maia de Abreu"
Colouring the maximal cliques of graphs with few P4's,"Sulamita Klein, Aurora Morgana"
UMA CARACTERIZAÇÃO DE GRAFOS CAMINHO-COMPLETO,"Lilian Markenzon, Nair Maria Maia de Abreu, Maximiliano Pinto Damas, Paulo Renato da Costa Pereira"
Largura em Árvore de Grafos Planares Livres de Ciclos Pares Induzidos,"Aline Alves da Silva, Ana Silva, Cláudia Linhares Sales"
Teorema de Hajós para Coloração Ponderada,"Júlio César Silva Araújo, Cláudia Linhares Sales"
O PROBLEMA DE COLORAÇÃO EM GRAFOS FUZZY,Fábio Hernandes
Maximização de quebras em torneios Round Robin simples,"Sebastián Urrutia, André Cardoso de Souza, Pedro Stancioli, Celso C. Ribeiro"
Edge search number para grafos com muitas simetrias,"R. T. Paulino, R. P. Paes Leme, T. S. Pereira, C. M. Justel"
UMA SOLUÇÃO PARA O PROBLEMA DA ÁRVORE GERADORA MÍNIMA EUCLIDIANA UTILIZANDO TRIANGULAÇÃO DE DELAUNAY,"Daniel R. Trindade, Eduardo Zambon, Maria Claudia S. Boeres, Flávio M. Varejão"
Enumeration of r-Modular Trees,"Guilherme Oliveira Mota, Paulo César Linhares, Rafael Castro de Andrade"
GRAFOS BALANCEADOS E REGULARIDADE,"Nair Maria Maia de Abreu, Maximiliano Pinto Damas, Lilian Markenzon"
AN ANALYSIS OF GOMORY-HU CUT-TREES RELATIONSHIP,"D. Barth, P. Berthomé, M. Diallo"
Uma nova abordagem do algoritmo de Emparelhamento Máximo de Kameda e Munro,"André da Cunha Ribeiro, Diane Castonguay"
UM ALGORITMO PARA O PROBLEMA DE FLUXO DE CUSTO MÍNIMO COM INCERTEZAS,"Fábio Hernandes, João Paulo Minoru Kobayashi Katayama, Felipe Ribas Forbeck"
Coloração Equilibrada dos Grafos Impares,"Samuel Jurkiewicz, Milene Pimenta"
ANÁLISE DE RESULTADOS OBTIDOS PELA HEURÍSTICA ESPECTRAL PARA O PROBLEMA LARGURA DE BANDA EM CLASSES DE CATERPILLARS.,"Daniel Gomes, Claudia Marcela Justel"
PARTIÇÃO FLORESTA-CLIQUE DE COGRAFOS,"Synara Pereira Brito, Sulamita Klein, Loana Tito Nogueira, Fábio Protti"
GRAFOS QUE MODELAM REDES CONFIÁVEIS,"Leandro da Silva Teixeira, Leonardo Silva de Lima, Nair Maria Maia de Abreu"
"Limite superior para L(2,1)-coloração de grafos bipartidos cordais","Márcia Rosana Cerioli, Daniel Fabio Domingues Posner"
SPREAD DE MATRIZES ASSOCIADAS A GRAFOS,"Carla Oliveira, Claudia Justel, Leonardo Lima, Nair Abreu"
ALGORITMO PARA A RESOLUÇÃO DO PROBLEMA DE FLUXO MULTIPRODUTO FUZZY,"Juliana Verga, Jussara Rodrigues Ciappina, Akebo Yamakami"
"Caracterização e reconhecimento dos cografos-(k, l)","Raquel Bravo, Sulamita Klein, Loana Nogueira, Fábio Protti"
COLORAÇÃO DE VÉRTICES COM FOLGA,"Abel R. G. Lozano, Clícia V. P. Friedmann, Christina F. E. M. Waga, Lilian Markenzon"
"UMA PARTIÇÃO DO CONJUNTO DOS GRAFOS CONEXOS DE ORDEM n EM CLASSES DE GRAFOS (a, b)-LINEARES","Patricia Erthal de Moraes, Christine Sertã Costa, Nair Maria Maia de Abreu, Andréa Soares Bonifácio, Cybele T. M. Vinagre"
DETERMINAÇÃO DO ROTEAMENTO DOS ATENDIMENTOS DE UMA EMPRESA DE COMERCIALIZAÇÃO AGRÍCOLA – VARIAÇÕES DE SOLUÇÕES HEURÍSTICAS,"Adriano Vitor, Arinei Carlos Lindbeck da Silva, Luzia Vidal de Souza"
ADAPTAÇÕES DOS ALGORITMOS DE DIJKSTRA E FORD-MOORE-BELLMAN PARA O PROBLEMA DO CAMINHO MÍNIMO COM INCERTEZAS,"Fábio Hernandes, Wagner Santos de Oliveira"
All pairs 2-route flows and varying capacities,"Madiagne Diallo, Serigne Gueye, Pascal Berthomé"
UNA PROPUESTA DE OPTIMIZACIÓN EN EL PROCESO DE COSECHA DE MANZANAS,"Marcela Cecilia González-Araya, Luis G. Acosta Espejo, Marcela Ferreira"
O Uso do Modelo de Programação Matemática na Inferência Estatística,"Alane Alves Silva, Fernando Menezes Campello de Souza"
UM ALGORITMO EFICIENTE PARA COLORAÇÃO DE ARESTAS BASEADO NO TEOREMA DE VIZING,"Tiago de Oliveira Januario, Sebastián Urrutia"
Roteamento ótimo das linhas de ônibus internas do campus UFRJ-Fundão,"Beatriz Malajovich, Claudio Santos de Souza, Uéverton dos Santos Souza, Paulo Oswaldo Boaventura-Netto, Samuel Jurkiewicz"
FAMÍLIAS DE GRAFOS NÃO HIPERENERGÉTICOS,"Maria Aguieiras A. de Freitas, Andréa Soares Bonifácio, Cybele T. M. Vinagre"
HEURÍSTICAS BASEADAS NO ALGORITMO DE COLORAÇÃO DE GRAFOS PARA O PROBLEMA DE ALOCAÇÃO DE SALAS EM UMA INSTITUIÇÃO DE ENSINO SUPERIOR,"Douglas José da Silva, Geiza Cristina da Silva"
SPREAD VERSUS NÚMERO CROMÁTICO DE UM GRAFO,"Aroldo José de Oliveira, Leonardo Silva de Lima, Nair Maria Maia de Abreu"
Partição dos grafos P4-tidy em conjuntos independentes e cliques,"Raquel Bravo, Sulamita Klein, Loana Nogueira, Fábio Protti"
GRAFOS COM CONECTIVIDADE DE ARESTAS IGUAL A 2 CAPAZES DE MODELAR REDES CONFIÁVEIS,"Leandro da Silva Teixeira, Nair Maria Maia de Abreu, Leonardo da Silva Lima"
"Coloração harmônica de (q,q-4)-grafos conexos","C. Linhares Sales, N. Martins, R. Sampaio"
b-coloração de grafos com poucos P4's,"V. Campos, C. Linhares Sales, A. Maia, R. Sampaio"
Estudo Experimental de Algoritmos em Tempo Real de Caminho Mínimo Ponto a Ponto em Grafos Dinâmicos,"Leonardo Moura, Marcus Ritt, Luciana S. Buriol"
ADAPTAÇÃO DO ALGORITMO DE FORD-MOORE-BELLMAN PARA O PROBLEMA DE CAMINHO MÍNIMO FUZZY COM RESTRIÇÕES DE TEMPO,"Fábio Hernandes, Wagner Santos de Oliveira"
Teoria Espectral de Grafos Aplicada ao Problema de Isomorfismo de Grafos,"Philippe Leal Freire dos Santos, Maria Cristina Rangel, Maria Claudia Silva Boeres"
GENERALIZED st-NUMBERING FOR SIMPLY CONNECTED GRAPHS,"Letícia Rodrigues Bueno, Rodrigo de Alencar Hausen, Candido Ferreira Xavier Mendonça"
Partição dos grafos P4-laden em conjuntos independentes e cliques,"Raquel Bravo, Sulamita Klein, Samuel Nascimento, Loana Nogueira, Fábio Protti, Rudini Sampaio"
UMA REPRESENTAÇÃO COMPACTA PARA GRAFOS CORDAIS,"Clícia V. P. Friedmann, Abel R. G. Lozano, Lilian Markenzon, Paulo Renato da Costa Pereira, Christina F. E. M. Waga"
MEDIDAS DE CENTRALIDADE E DETECÇÃO DE COMUNIDADES EM REDE DE CO-AUTORIA,"Diego Andrés de Barros Lima Barbosa, Leonardo Borges Avelino, Rarylson Freitas de Souza, Camila Cristina Gomes Ferreira de Oliveira, Claudia Justel"
GRAFOS EXTREMAIS PARA IRREGULARIDADE SÃO NÃO-BALANCEADOS?,"Joelma Ananias de Oliveira, Carla Oliveira, Claudia Justel, Nair Maria Maia de Abreu"
PERTUBAÇÕES EM GRAFOS E SEUS EFEITOS SOBRE A CONECTIVIDADE ALGÉBRICA,"Márcia Bengio de Albuquerque, Leonardo Silva de Lima, Carla Silva Oliveira"
O Teorema de Helly Colorido e Hipergrafos Gerais,"Rommel Melgaço Barbosa, Erika Morais Martins Coelho, Mitre Costa Dourado, Jayme Luiz Szwarcfiter"
"Um algoritmo FPT para o problema da L(2,1)-coloração","Márcia R. Cerioli, Nicolas A. Martins, Daniel F. D. Posner, Rudini Sampaio"
Uma caracterização dos grafos com número cromático orientado 3 e sobre o número cromático orientado de união de grafos,"Hebert Coelho da Silva, Sylvain Gravier, Luerbio Faria, Sulamita Klein"
AN ADAPTED POWER METHOD FOR EIGENVECTOR COMPUTING APPLIED TO A GRAPH ISOMORPHISM ALGORITHM,"Marcos Daniel Valadão Baroni, Maria Claudia Silva Boeres, Maria Cristina Rangel"
