Título,Autores
ESTUDO DE IMPLEMENTAÇÕES PARALELAS PARA COLORAÇÃO DE GRAFOS EM ARQUITETURAS COM MEMÓRIA COMPARTILHADA,"Clynton Tomacheski, Anolan Milanés, Sebastián Urrutia"
Uma Heurística Adaptativa Aplicada à Minimização da Largura de Corte Em Grafos,"Vinícius Gandra Martins Santos, Marco Antonio Moreira de Carvalho"
Um Algoritmo Pseudo-polinomial para o Problema do Corte Bidimensional Guilhotinado,"Leonardo da Rocha Perazzini, Uéverton dos Santos Souza, Pedro Henrique Gonzalez"
"Caracterização por subgrafos proibidos da partição (S, T) dos grafos P4-esparsos","Fábio Silva, Raquel Bravo, Rodolfo Oliveira, Uéverton Souza"
Análise de complexidade assintótica de algoritmos em grafos por uma abordagem empírica,"Juliana M. Souza, Fabiano S. Oliveira, Valmir C. Barbosa"
An evaluation of heuristics for bandwidth and profile reductions applied to matrices ordered by a space-filling curve,"Sanderson L. Gonzaga de Oliveira, Guilherme Oliveira Chagas, Júnior Assis Barreto Bernardes"
ANÁLISE DE TOPOLOGIAS DE REDES DE TELECOMUNICAÇÕES: UMA ABORDAGEM USANDO INVARIANTES DE GRAFOS,"Débora Cristina Fortuna Lopes, Marcia Helena Moreira Paiva"
O MODELO DOS GRAFOS PARA RESOLUÇÃO DE CONFLITOS LIMIARES DE VARIAÇÃO DA INTENSIDADE DE PREFERÊNCIAS PROBABILÍSTICOS UTILIZANDO O MÉTODO DE MONTE CARLOS: ANÁLISE DE ESTABILIDADE COM A INCORPORAÇÃO NOS SISTEMAS GMCR II E GMCR +,"José Iranildo Barbosa Sales da Silva, Maria Gerliane Rodrigues Fonseca Cavalcante"
Sobre a Complexidade de Partição em Conjuntos Convexos na Convexidade de Caminho Triangular em Grafos,"Gislane Natália de Souza Miranda, Carlos Vinicius Gomes Costa Lima, Vinicius Fernandes dos Santos"
NOVOS RESULTADOS PARA O ÍNDICE DE CONECTIVIDADE DE LIGAÇÃO ATÔMICA EM GRAFOS QUE MODELAM DENDRÍMEROS,"Diego Júlio Pacheco, Leonardo Lima"
Cliques e Conjuntos Independentes em Grafos Prismas Complementares: Complexidade e Tratabilidade Parametrizada,"Priscila Camargo, Alan Diêgo Aurélio Carneiro, Uéverton dos Santos Souza"
Relações de Nordhaus-Gaddum para o raio espectral das matrizes laplaciana e laplaciana sem sinal,"Rodrigo da Cruz Grijó, Leonardo Silva de Lima, Carla Silva Oliveira"
UM ESTUDO SOBRE GRAFOS COM CONECTIVIDADE ALGÉBRICA INTEIRA,"Clarianne Luciola de A. V. M. Lucas, Maria Aguieiras A. de Freitas"
A pseudoperipheral vertex finder based on the George-Liu and Kaveh's B algorithms for small symmetric matrices,"Sanderson L. Gonzaga de Oliveira, Alexandre A. A. M. Abreu"
A Complexidade do Reconhecimento de Grafos B1-EPG-Helly,"Claudson Bornstein, Tanilson Santos, Uéverton Souza, Jayme Szwarcfiter"
UM ESTUDO SOBRE A MATRIZ DISTÂNCIA DE GRAFOS,"Joice Santos do Nascimento, Maria Aguieiras Alvarez de Freitas, Renata Raposo Del-Vecchio"
Aspectos da quase-bipartição em grafos cordais e grafos de distância-hereditária,"Rodolfo Alves de Oliveira, Raquel de Souza Francisco Bravo, Uéverton dos Santos Souza, Fábio da Silva Júnior"
ALGORITMOS PARALELOS APLICADOS NA REORDENAÇÃO DE VÉRTICES PARA REDUZIR O TEMPO DE EXECUÇÃO DE IMPLEMENTAÇÃO PARALELA DO MÉTODO DOS GRADIENTES CONJUGADOS PRECONDICIONADO,"Jean Antonio Ribeiro, Sanderson L. Gonzaga de Oliveira"
An experimental analysis of three heuristics for bandwidth reduction to speed up the incomplete Cholesky-conjugate gradient method,Sanderson L. Gonzaga de Oliveira
Uma avaliação de implementações paralelas de duas heurísticas para redução de largura de banda de matrizes,"Jean Antonio Ribeiro, Sanderson L. Gonzaga de Oliveira"
Efeitos de permutações simétricas no tempo de execução de um método direto para resolução de sistemas de equações lineares esparsos e assimétricos,"Sanderson L. Gonzaga de Oliveira, Libério M. Silva, Alexandre A. A. M. Abreu"
Emparelhamentos Desconexos em Grafos Cordais e Subclasses,"Bruno Porto Masquio, Paulo Eustaquio Duarte Pinto, Jayme Luiz Szwarcfiter"
Revisitando o Teorema de Courcelle,"Maurício da Silva Pires, Bruno Lopes Vieira, Uéverton dos Santos Souza"
Sobre a complexidade de um algoritmo clássico para escalonamento de projetos com maximização de valor presente líquido,"Isac M. Lacerda, Jayme L. Szwarcfiter, Eber A. Schmitz, Rosiane de Freitas"
Multiple Criteria Decision Analysis and Complex Networks Applied to NBA Season Leaders Study,"Vanessa Helena Pereira-Ferrero, Theodore Gyle Lewis, Luciane Graziele Pereira Ferrero, Leonardo Tomazeli Duarte"
Estudo Sobre o Uso do Framework OpenMP na Paralelização de um Algoritmo para o Problema de Busca em Largura,"Fernando P. G. Sá, Laura S. de Assis, Pedro Gonzalez, Rafaelli Coutinho, Diego Brandão, Sanderson L. Gonzaga de Oliveira"
Uma análise experimental sobre a t-admissibilidade em grafos,"Fernanda Couto, Luís Cunha, Daniel Juventude"
A comparison of pseudoperipheral vertex finders for the Reverse Cuthill-McKee method,"A. A. A. M. Abreu, J. A. B. Bernardes, S. L. Gonzaga de Oliveira"
A computational experiment with low-cost heuristics for profile reduction,"L. M. Silva, J. A. B. Bernardes, S. L. Gonzaga de Oliveira"
Identifying Subclasses of Helly B1-EPG Graphs,"Liliana Alcón, María Pía Mazzoleni, Tanilson Dias dos Santos"
Algoritmos lineares para emparelhamentos conexos,"Bruno P. Masquio, Paulo E. D. Pinto, Jayme L. Szwarcfiter"
ANÁLISE DO MERCADO FINANCEIRO VIA MEDIDAS DE CENTRALIDADE: UMA APLICAÇÃO AO ÍNDICE DOW30 DOS ESTADOS UNIDOS,"Mariana Duque Finkel, Renata Raposo Del-Vecchio"
"Limites superiores para a L(2,1)-rotulação de famílias de grafos subcúbicos","José Robertty de Freitas Costa, Atílio G. Luiz"
Caracterização e Reconhecimento em Problemas de Partição nos Cografos,"Maria Luíza López da Cruz, Raquel de Souza Francisco Bravo"
Partitioning split graphs into two trees,"Anne R. A. Federici Marinho, Loana Tito Nogueira, Luís Felipe Ignácio Cunha, Uéverton S. Souza"
Prismas complementares de cografos: uma classe 4-admissível sem exemplares 3-admissíveis,"Fernanda Couto, Luís Cunha, Ighor de Brito"
A new algorithm for the Maximum-weight Planar Subgraph Problem,"Paulo A. G. Kataki, Márcia R. Cappelle, Les R. Foulds, Humberto J. Longo"
INDEPENDENCE GAP IN GRAPHS OF GIRTH AT LEAST 6,"Márcia R. Cappelle, Marcelo C. Dias, Vinícius Gabriel Santos"
UM MÉTODO GULOSO DE SIMPLIFICAÇÃO PARA O PROBLEMA DA K-DISPERSÃO DISCRETA EM GRAFOS,"Sandro André de Menezes, André Renato Villela da Silva"
Limites para o Número Clique Orientado Relativo de Grades e Grades Cilíndricas,"Mateus de Paula Ferreira, Erika Morais Martins Coelho, Hebert Coelho da Silva"
ANÁLISE E CARACTERIZAÇÃO DE SISTEMAS AUTÔNOMOS COMO REDES COMPLEXAS,"Matheus Tavares Araujo, Filipe Emanuel Silva Costa, Raquel da Silva Cabral"
Socio-economic analysis of the administrative regions of the city of Vitória/ES using graph signal processing,"Katiuski Pereira Nascimento, Alcebíades Dal Col Júnior, Marcia Helena Moreira Paiva"
M-Particoes em Cografos,"João Thompson, Fábio Protti, Raquel Bravo, Loana Tito Nogueira"
Sobre os Números Clique Orientado Relativo e Absoluto em Algumas Classes de Grafos,"Erika Morais Martins Coelho, Hebert Coelho da Silva, Mateus de Paula Ferreira"
"Limites superiores para a rotulação-L(3,2,1) de grafos com grau máximo três","Davi Gomes Florencio, Atílio G. Luiz"
ANÁLISE DA UTILIZAÇÃO DE ÁRVORES DINÂMICAS PARA A OTIMIZAÇÃO DO ALGORITMO DE DINIC EM PROBLEMAS DE FLUXO MÁXIMO EM GRAFOS,"Felipe Kallás Silva, José Luiz da Silva Neto, Alexandre Donizeti Alves, Edmilson Marmo Moreira"
UM ALGORITMO PARA DETERMINAR UM LIMITE SUPERIOR PARA O PROBLEMA DA CONTAGEM DE INTERVALO,"Lívia Salgado Medeiros, Fabiano de Souza Oliveira, Jayme Luiz Szwarcfiter"
SOBRE ÁRVORES BROOM DE TIPO 2,"Daniel Felisberto Traciná Filho, Claudia Marcela Justel"
Avaliação empírica de algoritmos clássicos para escalonamento de projetos com maximização de valor presente líquido,"Isac M. Lacerda, Jayme L. Szwarcfiter, Eber A. Schmitz, Rosiane de Freitas"
Graph Filter 2.0: nova versão do software para filtragem de grafos.,"Lavínia Beghini de Castro, Átila Arueira Jones"
Problemas Probe e Sanduíche para Grafos Cordais: um relacionamento aleatório,"Fernanda Couto, Mariana Mendes da Silva"
Greedy Randomized Construction with Vertex Degree for the Minimum Independent Dominating Set Problem,"André Eduardo Alessi, Lucas Caldeira de Oliveira, Bruno Duarte, Marco Antonio de Castro Barbosa, Dalcimar Casanova, Ives Rene Venturini Pola, Fernanda Paula Barbosa Pola"
UTILIZAÇÃO DOS ALGORITMOS FLOYD-WARSHALL E A* NO MAPEAMENTO DE ROTAS DE HOSPITAIS COM LEITOS DE UTI COVID-19,"Wallace Duarte de Holanda, Maria Adriana Ferreira da Silva"
A conformabilidade dos grafos subcúbicos,"Luerbio Faria, Mauro Nigro, Diana Sasaki"
A constructive and improving heuristic algorithm for the maximum weight planar subgraph problem,"Rafael C. Silva, Paulo A. G. Kataki, Les R. Foulds, Humberto J. Longo"
CARACTERIZAÇÃO DE GRAFOS COM CONECTIVIDADE ALGÉBRICA MÁXIMA,"Yuri Ribeiro dos Santos, Laura Maria Silva Miranda, Átila Arueira Jones"
IDENTIFICAÇÃO TOPOLÓGICA DE FRAGILIDADES NA SUPERVISÃO DE REDES ELÉTRICAS,"Rafael Carlos Soares Lima, Milton Brown Do Coutto Filho, Julio Cesar Stachinni de Souza, Fabio Protti"
Rede Neural Hibrída para Previsão da Potência Gerada em uma Usina Fotovoltaica,"Bruna Rodrigues Vidigal, Marcia Helena Moreira Paiva, Helder Roberto de Oliveira Rocha, Marcelo Eduardo Vieira Segatto"
k-independência em grafos $P_{4}$-esparsos,"Márcia R. Cappelle, Luan César Dutra Carvalho"
REDUÇÃO DE COMPLEXIDADE EM ALGORITMO DE BUSCA DE MEDIDAS CRÍTICAS EM ESTIMAÇÃO DE ESTADO VIA GRAFOS,"Larissa Bonadiman Grassi, Marcia Helena Moreira Paiva, Helder Roberto de Oliveira Rocha"
Heuristics for t-admissibility with complex network approach,"Carlos Santos, Anderson Zudio, Leandro Santiago, Luís Cunha"
UM ESTUDO ESPECTRAL DE OPERAÇÕES ENTRE GRAFOS,"Uilton Cesar Peres Junior, Carla Silva Olivera, André Ebling Brondani"
GRAFOS OUTERPLANARES MAXIMAIS E GRAFOS 2-CAMINHO COM CONECTIVIDADE ALGÉBRICA MÁXIMA,"Claudia Marcela Justel, Rafael Leal de Paula, Daniel Botinelly Bezerril Ribeiro"
Modelo em grafo baseado nos padrões de corte para o Problema de Minimização de Pilhas Abertas,"Rafael de Magalhães Dias Frinhani, Daniel Sadamo Hirayama, Nei Yoshihiro Soma, Marco Antonio Moreira de Carvalho"
PARTICIONAMENTO DE COGRAFOS EM ÁRVORES INDUZIDAS,"Rodrigo dos Anjos Azevedo, Fábio Protti, Uéverton dos Santos Souza"
"Jogos da Posição Convexa, do Intervalo e da Envoltória em Grafos","Samuel N. Araújo, Raquel Folz, Rosiane de Freitas, João Marcos Brito, Rudini Sampaio"
Explorando os Limites de Heurísticas Construtivas para o Problema da Árvore Geradora com Número Mínimo de Ramificações,"Anderson Beltrão, Rodrigo Lamblet Mafort, Fábio Protti"
Gerando base de grafos não isomorfos com seus índices de extensão,"Felipe Souza, Leandro Santiago, Luís Cunha"
Particionamento de grafos em um conjunto independente e uma floresta: Características estruturais e algoritmos,"Maria Luíza López da Cruz, Raquel de Souza Francisco Bravo, Rodolfo A. Oliveira, Uéverton dos Santos Souza"
Uma Heurística Gulosa para Seleção de Conjunto Alvo em Redes Sociais,"Braully Rocha da Silva, Erika Morais Martins Coelho, Hebert Coelho da Silva, Fábio Protti"
A CONTAGEM DE INTERVALO DE UMA CLASSE DE GRAFOS SPLIT,"Lívia Salgado Medeiros, Fabiano de Souza Oliveira, Jayme Luiz Szwarcfiter"
H-PARTIÇÕES DE GRAFOS,"Arnaldo Cesar Almeida Oliveira, Fábio Protti, Uéverton dos Santos Souza"
Um novo conjunto de instâncias para o problema de particionamento de arestas em distritos eulerianos,"Mayron César O. Moreira, Kali N. Ferreira, Marcos José P. Salles, Álvaro M. Espíndola, Andreza C. Beezão"
Tempo de Iteração e Número de Posição Geral em Convexidade de Grafos,"Júlio Araújo, Mitre C. Dourado, Fábio Protti, Rudini M. Sampaio"
Twin-treewidth: uma abordagem de tempo exponencial simples para problemas em grafos baseada em lógica modal,"Maurício da Silva Pires, Uéverton dos Santos Souza, Bruno Lopes Vieira"
Novas invariantes para 1-fatorações do grafo $K_{2n}$,"Saulo Matos, Rafael A. Melo, Tiago Januario, Sebastián Urrutia"
Valid Path Numberings in Circulant Graphs,"Gustavo M. Leal, Les R. Foulds, Humberto J. Longo, Hebert C. Silva"
Jogos baseados em torres de diferentes capacidade,"Lia Martins, Rosiane de Freitas"
Sobre a Complexidade do Problema Clique Cover em Representações {L}-EPG,"Kedson Alves Silva, Tanilson Dias dos Santos, Uéverton dos Santos Souza"
Processos Reversíveis em Grafos Densos,"Isac Costa, Carlos V.G.C. Lima"
Estratégias vencedoras para jogos de convexidade em grafos,"João Marcos Brito, Rudini Sampaio"
DIFFERENTIAL EVOLUTION FOR GRAPH COLORING PROBLEM,"Israel Pereira de Souza, Igor Machado Coelho, Luiz Satoru Ochi"
Algorithms for Super-coloring in Directed Graphs,"Wesly Carmesini Ataide, Rafael de Santiago, Álvaro Junio Pereira Franco"
ANÁLISE DE ATIVOS FINANCEIROS VIA GRAFOS DE MERCADO: UM ESTUDO NO CONTEXTO DA REGIÃO SUL DO BRASIL,"Felipe Boschetti, Andrei de A. S. Braga, Geomar A. Schreiner, Giancarlo D. Salton"
UMA ABORDAGEM PARA O PROBLEMA DA ÁRVORE GERADORA MÍNIMA COM RESTRIÇÃO DE DIÂMETRO VIA METAHEURÍSTICA BRKGA,"Robson Pires Borges, Heitor Nunes Costa, Dario José Aloise, Fábio Francisco da Costa Fontes, Andréa Cynthia Santos, Josicleyton Azevedo dos Santos"
LOCALLY IDENTIFYING COLORING OF CORONA PRODUCTS: COMPLEXITY AND STRUCTURAL RESULTS,"Robson Medrado de Oliveira, Márcia Rodrigues Cappelle, Hebert Coelho da Silva, Julliano Rosa Nascimento"
Determinando distâncias e consensos entre árvores,"Thiago Lopes Nascimento, Luís Felipe Ignácio Cunha"
A GRASP heuristic for the maximum-weight planar subgraph problem,"Rafael Castro, Wellington Martins, Les Foulds, Humberto Longo"
Sobre Grafos de Intervalo Representados como Interseções de Caminhos de Tamanho Unitário em Formato de L,"Kedson Alves Silva, Uéverton dos Santos Souza"
HEURÍSTICAS PARA BUSCA DE ÁRVORES DE STEINER MÍNIMAS: COMPARAÇÃO DA HEURÍSTICA KMB E HEURÍSTICAS COM MEDIDAS DE CENTRALIDADE DE ARESTA,"Alayna Marcia Garcia Conceição, Ana Luísa Carvalho Furtado, Celso Marques da Silva Junior"
Número de P3-Carathéodory em Grafos Circulantes,"Braully Rocha da Silva, Erika Morais Martins Coelho, Hebert Coelho da Silva"
DESCOMPOSICIÓN DE UNA FIGURA POLIGONAL SIN HUECOS EN UN CONJUNTO DE POLÍGONOS CONVEXOS POR MEDIO DE UN ALGORITMO EXACTO Y UNO APROXIMADO,"Johana Milena Martínez Contreras, David Álvarez Martínez, Germán Pantoja Benavides"
Spectral Graph Theory and the Normal Modes of Coupled Oscillations,"Felipe Costa Melo Cunha, Ivan Guilhon, Samuel Madeiro, Antônio José da Costa Sampaio, Rudini Menezes Sampaio"
Jogos Partizan de Convexidade de Grafos,"Samuel N. Araújo, Raquel Folz, Rosiane de Freitas, João Marcos Brito, Rudini Sampaio"
Maximising the quantity of valid 2-paths on cographs,"Gustavo M. Leal, Humberto J. Longo, Hebert C. Silva, Les R. Foulds"
Limites para o número de Carathéodory em Grafos de Hamming,"Braully Rocha da Silva, Erika Morais Martins Coelho, Hebert Coelho da Silva, Simone Dantas"
Harmony by Order: Constructive Heuristics for Harmonious Graph Coloring with a Color Availability Dictionary,"Tasso A. T. Pimenta, Marcio Costa Santos"
Independent identifying codes: complexity and closed formulas for some graph classes,"Dayllon Xavier, Márcia Cappelle, Erika Coelho, Les R. Foulds, Humberto Longo"
On Mathematical Models for the Maximum d-Cut Problem,"Lorenzo dos Santos Corrêa, Marcio Costa Santos, Guilherme C. M. Gomes"
Problemas de consensos para árvores de mutação,"Thiago Lopes Nascimento, Luís Felipe Ignácio Cunha"
Role Assignments in some Circulant Graphs,"Maria Heloísa de Paula Souza, Diane Castoguay, Julliano Rosa Nascimento"
Sobre a 4-atribuição de papéis para produto forte de grafos,"Gustavo Morais Medeiros, Julliano Rosa Nascimento"
Abordagens Computacionais para o Gold Grabbing Game,"Heitor Melo de Lucas Brandão, Hebert Coelho da Silva"
Caracterização topológica de dendrímeros via índices complementares: uma abordagem matemático-estrutural,"Diego Julio Pacheco, Vitor S. Ponciano, Rafael Oliveira, Augusto Parisot"
NÚMERO CROMÁTICO ANTIMÁGICO LOCAL DE DUPLAS VASSOURAS DE DIÂMETRO NO MÁXIMO 4,"Lara Rodrigues Ventura, André Ebling Brondani, Francisca Andrea Macedo França"
Investigando a Lavagem de Dinheiro com Teoria dos Grafos: Algoritmos e Treewidth em Redes Financeiras,"Samuel Eduardo da Silva, Renata Nunes Velozo, Luís Felipe Ignácio Cunha, Fábio Protti, Rubén Interian, Uéverton S. Souza, Raphael Carlos Santos Machado"
HEURÍSTICA COLÔNIA DE FORMIGAS APLICADA À LOGÍSTICA EMERGENCIAL,"João Pedro da Silva Cerqueira, Rodrigo Freitas Sá Barretto, Islame Felipe da Costa Fernandes"
